"birth_year","male","poverty","family_income","weeks_unemployed","urban","number_of_jobs_ever","number_children","age_at_first_child","hours_worked_in_week","education","educational_loans"
1960,0,NA,190000,0,0,14,2,35,40,5,NA
1958,1,0,80000,0,0,3,1,20,51,1,NA
1958,0,0,88000,0,0,6,1,20,36,2,2000
1959,0,NA,105000,0,1,9,1,24,40,1,NA
1961,0,NA,30630,0,1,NA,4,19,15,1,NA
1961,0,NA,60400,0,1,NA,2,30,18,4,NA
1961,0,0,85800,0,1,19,1,25,34,3,2500
1964,0,0,75000,0,1,19,2,24,65,3,600
1961,0,NA,150010,0,1,18,3,26,51,1,NA
1962,1,0,118055,0,0,7,2,28,50,4,500
1963,0,NA,60000,0,1,NA,1,27,20,8,15000
1964,0,0,173875,0,1,28,3,30,NA,4,3000
1961,1,0,68000,0,1,20,1,38,40,1,2850
1963,1,0,285000,0,1,14,2,33,NA,8,27000
1961,0,0,134100,0,1,9,1,29,40,1,1500
1959,1,0,104000,0,1,10,3,27,40,3,5000
1961,1,0,207000,0,1,9,2,30,NA,3,7000
1957,1,NA,150000,0,1,5,1,27,85,4,NA
1964,1,0,145100,0,1,5,1,42,80,1,NA
1959,0,0,143000,0,1,8,1,17,43,1,NA
1961,0,0,113050,0,0,13,1,24,53,4,14000
1959,0,NA,87940,0,1,NA,1,22,40,1,NA
1958,1,0,81010,39,1,7,3,31,86,1,NA
1962,1,0,48000,0,0,NA,1,27,55,3,NA
1957,1,0,136300,0,1,10,3,26,85,1,NA
1964,0,0,150000,0,0,7,1,31,40,1,NA
1963,1,0,106000,0,1,7,2,28,50,1,NA
1964,0,0,35000,0,1,21,1,18,34,1,NA
1960,0,NA,110000,0,1,19,2,37,28,3,7500
1961,1,0,29000,0,0,NA,2,19,100,1,NA
1961,1,0,497763,0,1,12,1,30,NA,4,2500
1962,0,0,71935,18,1,NA,2,35,40,1,NA
1960,1,0,55200,0,0,5,3,38,50,1,NA
1960,1,0,127000,0,1,13,2,20,NA,1,NA
1960,0,0,146000,0,1,13,1,28,40,5,10000
1964,0,0,54000,0,1,NA,1,18,35,1,NA
1964,0,0,23000,0,1,NA,1,16,30,4,2500
1960,1,0,68000,0,1,15,4,29,NA,1,NA
1957,0,0,22376,0,1,NA,5,24,30,1,NA
1961,1,1,6620,0,1,16,1,19,13,1,NA
1964,1,0,390662,0,1,NA,3,27,120,4,11500
1963,1,0,101000,0,1,6,1,26,48,1,NA
1960,1,NA,90300,0,1,11,1,29,55,5,5000
1962,0,0,73200,0,1,12,1,21,40,5,5000
1960,0,NA,35000,0,1,NA,1,34,54,1,NA
1961,0,NA,72800,0,1,14,1,27,40,4,NA
1964,0,NA,110050,0,1,NA,2,27,36,4,NA
1964,0,0,78000,0,1,17,3,34,36,4,NA
1964,0,0,107000,0,0,9,1,26,40,1,NA
1959,1,0,58005,0,1,8,1,24,40,1,NA
1962,0,0,118000,0,1,4,3,29,50,5,8600
1961,0,0,497763,0,1,14,1,40,NA,4,NA
1962,1,0,241800,0,1,NA,2,27,120,1,8000
1963,1,0,221000,0,1,7,2,35,45,4,2000
1958,0,0,145000,0,1,9,1,25,28,1,NA
1960,1,0,187500,0,1,13,2,32,80,5,2000
1960,0,0,43000,0,1,12,1,19,35,1,NA
1964,0,0,95000,0,1,5,2,23,NA,1,NA
1963,0,0,146300,0,1,9,2,28,50,4,NA
1959,0,NA,60061,1,0,NA,2,24,16,1,NA
1961,0,0,79650,0,1,NA,1,39,40,4,NA
1963,0,0,78600,0,1,8,5,33,0,5,NA
1960,0,0,107000,0,1,9,4,26,NA,5,2100
1960,0,0,90000,0,0,NA,3,32,42,3,5000
1958,1,NA,45700,0,0,NA,2,26,50,1,NA
1963,1,0,25100,0,1,NA,1,22,22,1,NA
1957,1,0,40000,0,0,7,2,32,0,1,NA
1957,1,0,106000,0,1,7,1,34,40,2,NA
1958,1,0,209000,0,1,8,2,31,40,5,5000
1960,1,0,60300,0,1,NA,1,34,45,2,NA
1957,0,0,71000,0,0,12,1,28,40,5,NA
1958,1,0,497763,0,1,11,3,44,100,2,NA
1958,0,0,70000,0,0,NA,1,34,25,4,NA
1961,0,1,32200,0,1,18,1,26,32,2,2250
1962,0,NA,61600,0,1,4,2,27,40,1,NA
1957,1,NA,49010,0,1,NA,2,33,40,1,450
1958,0,NA,103800,0,1,NA,6,19,40,1,7300
1959,0,0,187700,0,1,10,1,29,37,1,NA
1959,0,NA,54000,0,1,10,1,28,40,1,NA
1962,0,0,33000,0,1,7,1,22,38,1,NA
1960,0,0,24300,0,1,NA,3,24,40,1,NA
1963,1,0,47000,0,1,10,2,32,40,2,NA
1964,0,0,107200,0,1,NA,2,25,41,5,NA
1962,0,0,160000,0,1,NA,2,31,50,7,11000
1959,1,0,250000,0,1,5,3,34,NA,3,NA
1961,0,0,27910,0,1,26,2,32,38,1,NA
1961,0,0,88000,0,1,5,2,19,NA,1,NA
1960,0,0,140000,0,1,NA,1,18,40,3,26000
1960,0,0,40000,0,1,2,2,24,38,2,NA
1963,0,0,50000,0,1,4,3,20,NA,2,10000
1964,0,NA,500,18,1,NA,1,22,25,1,300
1963,0,0,45000,0,1,NA,2,24,55,7,11000
1961,0,0,12000,52,0,NA,1,20,80,1,NA
1961,0,NA,497763,0,1,3,2,23,NA,1,NA
1959,1,NA,250000,0,1,10,1,26,40,4,NA
1964,1,0,121000,0,1,11,2,31,40,4,NA
1961,0,NA,107520,0,1,11,1,26,40,4,NA
1957,0,0,2e+05,0,1,NA,1,26,40,1,NA
1957,0,0,142600,0,1,7,1,27,45,3,NA
1960,1,0,497763,0,1,9,3,29,60,7,16500
1960,0,0,87000,0,1,23,1,26,38,3,11000
1959,1,1,72000,0,0,9,2,34,48,1,NA
1964,1,1,35000,0,0,7,1,25,40,1,NA
1964,1,NA,454737,0,0,NA,2,25,30,4,NA
1962,1,NA,72000,0,1,25,1,25,52,2,6690
1960,0,0,4865,0,1,45,1,27,40,4,NA
1959,0,NA,33000,0,0,NA,2,22,37,1,1000
1964,0,1,15000,3,1,NA,4,17,117,1,NA
1960,0,1,64400,0,1,5,1,16,40,1,NA
1963,0,1,30000,0,0,13,1,20,20,1,NA
1963,1,1,53000,0,1,6,1,21,40,1,NA
1964,0,1,15000,0,1,NA,2,26,30,1,NA
1959,0,0,39473,0,1,18,1,16,66,1,NA
1961,0,0,8560,0,1,NA,1,20,65,1,NA
1957,0,NA,27000,0,0,10,2,21,40,2,NA
1963,0,NA,135000,0,1,15,2,33,43,8,NA
1957,1,0,109000,0,1,NA,1,22,46,1,NA
1959,0,0,32118,0,1,19,1,20,50,4,NA
1961,0,NA,111760,0,1,11,2,29,100,2,NA
1963,0,NA,61000,0,1,29,3,28,25,1,NA
1958,1,0,64000,0,1,13,4,20,70,1,NA
1957,0,0,117000,0,1,7,1,21,38,8,NA
1961,0,0,80000,0,0,NA,4,22,80,1,NA
1962,1,0,90097,0,1,7,2,29,40,1,NA
1964,1,0,39000,0,1,29,1,21,35,1,NA
1958,0,0,14000,0,1,15,1,30,NA,2,NA
1960,0,NA,73751,0,1,22,1,24,40,1,NA
1960,1,0,16800,0,1,14,1,24,55,1,NA
1959,1,0,148000,0,1,NA,2,22,50,4,6000
1962,0,NA,84000,0,1,NA,2,30,80,5,1000
1963,0,0,1568,0,1,NA,1,23,35,1,NA
1959,1,0,116000,11,1,2,1,29,40,1,NA
1962,1,0,57800,0,1,NA,2,24,40,1,NA
1960,1,NA,66000,0,0,NA,2,30,45,1,NA
1958,0,0,145000,0,1,7,2,24,24,2,NA
1961,0,0,34000,0,1,4,1,26,45,4,2000
1958,1,0,112000,0,1,5,1,19,40,2,NA
1958,0,0,32000,0,1,17,1,16,40,2,5225
1959,0,0,130000,0,1,7,1,15,40,4,20000
1963,0,NA,32385,0,1,NA,2,20,85,1,5000
1963,1,NA,122000,0,1,13,1,29,90,5,NA
1964,0,NA,17000,0,0,NA,3,21,120,3,NA
1962,0,NA,52600,0,1,9,1,19,40,1,NA
1961,0,NA,142500,NA,1,10,3,30,40,4,7500
1957,1,0,80000,0,1,6,2,32,NA,3,2500
1961,0,NA,15000,0,1,12,1,19,35,1,NA
1957,0,NA,4800,0,1,NA,1,27,30,1,NA
1962,0,0,142500,0,1,8,2,29,40,5,NA
1962,0,NA,103025,0,1,10,3,23,40,1,NA
1962,0,0,150000,6,1,20,2,35,NA,3,2500
1960,0,1,14520,0,0,NA,1,34,0,1,NA
