"birth_year","male","poverty","family_income","weeks_unemployed","urban","number_of_jobs_ever","number_children","age_at_first_child","hours_worked_in_week","education","educational_loans"
1963,1,0,84660,0,1,12,1,48,NA,1,NA
1959,1,0,80000,0,1,NA,3,18,50,1,NA
1958,0,0,80000,0,1,NA,3,19,16,1,NA
1958,0,0,68000,0,0,NA,2,25,32,1,NA
1957,1,0,88005,0,0,NA,3,23,120,1,NA
1958,0,0,170000,0,1,1,2,23,24,2,NA
1963,1,0,497763,0,1,7,2,26,50,5,22500
1962,1,NA,67000,0,0,NA,1,25,40,1,1500
1964,0,NA,30000,21,0,19,1,20,85,1,5000
1963,1,0,115000,0,0,NA,2,27,52,4,NA
1963,1,0,241000,0,1,12,2,29,50,5,8000
1957,0,0,48000,0,1,17,1,39,25,1,NA
1960,0,0,189918,0,0,NA,2,34,3,5,5000
1963,1,0,135000,0,1,12,3,36,30,5,14000
1960,1,NA,87160,0,0,7,1,25,50,1,NA
1959,0,NA,182000,0,1,8,2,25,40,1,NA
1960,0,NA,1e+05,0,1,NA,2,27,38,1,NA
1963,1,0,50000,0,0,4,1,45,NA,1,NA
1958,0,0,22500,0,1,24,1,26,NA,1,NA
1958,0,NA,164000,0,0,NA,1,33,25,1,NA
1963,0,NA,130000,0,1,7,2,39,40,4,NA
1964,0,NA,273500,0,1,12,3,29,NA,5,NA
1960,1,NA,497763,0,1,10,1,29,55,5,NA
1962,0,0,497763,0,1,14,3,34,55,4,5000
1964,1,0,497763,0,1,11,2,37,50,3,NA
1961,1,0,497763,0,1,10,2,28,55,5,7500
1960,0,0,203000,0,1,NA,2,29,15,5,9000
1958,0,0,54000,0,1,15,2,31,50,5,NA
1962,1,0,497763,0,1,16,2,37,NA,3,NA
1961,1,0,170000,0,1,8,2,31,40,3,5000
1962,1,0,152000,0,1,NA,2,37,65,4,5000
1958,0,0,497763,0,1,6,2,30,NA,3,5000
1963,1,1,24000,6,1,24,3,23,40,3,6200
1959,1,1,61000,0,1,NA,4,21,65,1,14000
1961,1,0,121000,0,1,14,2,32,50,1,NA
1963,1,NA,58000,0,1,NA,2,24,66,1,NA
1958,0,0,100001,0,1,NA,4,28,80,3,NA
1963,0,0,52000,0,1,13,2,26,56,4,5000
1959,0,0,78000,0,1,13,1,28,40,4,NA
1962,0,NA,12993,18,1,11,1,25,70,2,NA
1959,0,0,55050,0,0,28,1,30,53,4,5000
1962,1,0,56000,0,1,NA,3,28,125,2,NA
1961,0,NA,182000,8,1,12,1,31,93,1,NA
1957,1,0,157000,0,1,17,1,30,45,3,15000
1964,1,0,497763,0,1,15,2,31,140,6,NA
1964,0,0,479983,0,1,NA,3,30,12,4,3000
1964,0,0,133200,0,1,9,2,29,80,3,NA
1958,0,0,48000,0,1,10,2,27,40,3,3000
1963,1,0,207500,0,1,34,3,31,40,4,9068
1962,0,0,154975,0,1,19,1,27,40,3,7000
1962,1,0,101400,0,1,NA,2,32,48,4,7500
1964,1,NA,190200,0,1,9,3,30,50,4,5000
1958,0,0,220000,0,1,16,1,26,40,5,9000
1961,1,0,222300,0,1,9,2,30,45,4,11800
1960,0,NA,90500,0,1,4,2,34,NA,3,6000
1964,1,0,45000,52,1,13,2,21,NA,1,NA
1961,0,0,31000,0,1,NA,1,21,40,1,2000
1957,0,0,13152,0,1,2,1,22,NA,1,NA
1963,1,0,76000,0,1,18,3,19,46,1,NA
1962,1,0,76000,0,1,19,2,32,62,1,10000
1963,1,0,72000,0,1,9,1,19,58,1,NA
1962,0,0,87500,0,1,12,3,28,18,2,6000
1957,1,0,497763,0,0,10,2,25,90,6,NA
1962,1,0,88300,0,1,NA,1,29,40,3,NA
1964,0,0,86742,0,1,7,2,26,25,2,NA
1961,1,0,268000,0,1,6,2,31,80,3,4700
1960,1,0,166500,0,1,9,2,31,45,3,1500
1962,0,0,59480,0,1,13,2,31,20,1,NA
1959,1,0,12000,0,1,NA,2,25,40,1,NA
1959,1,0,148050,0,0,12,1,28,NA,1,NA
1960,0,0,102800,0,1,7,1,26,40,1,NA
1958,1,0,99964,0,1,1,2,31,45,1,NA
1961,1,0,67000,0,1,NA,2,26,45,1,NA
1964,0,0,5000,0,1,NA,1,19,35,1,2500
1960,0,NA,497763,0,1,24,1,28,50,5,10000
1957,0,NA,35000,0,1,9,1,35,40,1,NA
1963,0,1,35540,0,1,22,1,24,NA,1,4000
1959,1,0,280000,0,1,8,2,30,NA,2,4000
1961,1,0,1e+05,0,1,12,2,28,85,3,5000
1964,1,NA,10,0,0,9,4,31,30,4,NA
1961,0,0,118000,0,1,10,2,27,36,1,NA
1963,1,0,60020,0,1,8,1,37,55,2,NA
1959,0,0,124300,0,0,15,1,23,NA,2,2000
1959,0,1,37000,0,1,2,1,16,35,1,NA
1957,1,0,120000,21,1,12,1,30,120,5,12000
1963,0,0,45000,0,1,6,4,16,40,1,NA
1957,0,0,93093,0,1,4,1,20,35,1,NA
1958,1,0,105000,0,1,5,1,23,60,1,NA
1959,0,0,35200,0,1,NA,3,21,83,1,NA
1958,0,1,13000,0,1,16,1,16,56,2,NA
1964,0,0,54535,0,1,8,2,22,25,1,NA
1962,0,1,112000,0,1,NA,2,24,50,2,NA
1964,0,1,17500,0,1,NA,2,25,63,1,NA
1962,0,0,28000,0,1,7,1,16,36,1,NA
1958,0,1,31000,0,0,10,1,17,46,1,NA
1958,0,NA,280000,0,1,15,1,34,40,4,6000
1961,1,NA,1e+05,0,0,8,2,27,40,1,NA
1961,1,1,1,52,1,NA,1,17,95,6,NA
1961,0,0,1,0,1,NA,2,24,40,1,NA
1961,0,0,43050,0,1,NA,2,21,40,3,2000
1960,1,0,497763,0,1,6,2,32,55,4,NA
1962,0,0,159050,0,0,14,1,33,27,3,10000
1964,1,0,244343,0,1,NA,3,29,40,3,10000
1957,0,0,20000,0,0,9,1,27,40,1,NA
1962,1,NA,95000,0,1,9,3,26,40,4,10000
1963,0,NA,141500,0,1,12,1,30,24,3,NA
1957,1,0,65500,0,1,4,1,22,40,1,NA
1960,1,0,85000,0,1,11,2,32,50,2,2250
1964,0,NA,108000,0,1,16,1,37,40,5,13295
1964,0,0,29250,0,1,10,2,23,40,1,3500
1960,0,NA,111136,0,1,8,2,21,40,1,NA
1961,0,0,106000,0,1,15,3,35,40,5,7500
1960,0,0,120010,0,0,2,1,24,40,3,NA
1962,0,NA,497763,0,1,8,1,35,NA,1,NA
1959,0,0,3216,0,1,NA,1,39,40,1,NA
1962,0,0,47000,0,1,13,2,33,36,2,7500
1960,0,0,93000,0,0,NA,3,20,40,1,NA
1962,0,0,86403,0,1,8,1,24,25,1,NA
1964,1,0,26000,0,1,NA,3,23,40,2,4500
1962,1,0,21000,0,1,8,2,28,97,1,NA
1961,1,0,80000,0,1,22,1,22,45,1,NA
1962,0,0,28800,0,1,4,2,27,NA,1,NA
1960,0,NA,40050,0,1,NA,2,32,35,8,22000
1961,0,0,49560,0,1,NA,2,22,40,1,NA
1958,1,0,2e+05,0,1,16,1,37,40,1,NA
1964,1,NA,1,0,1,NA,1,35,55,3,NA
1964,1,0,208964,0,1,15,3,28,100,5,23000
1961,0,0,180000,0,1,19,2,30,20,3,7500
1963,1,0,23000,0,1,NA,1,29,98,8,NA
1959,1,0,120000,0,1,25,2,33,95,4,5000
1958,0,0,95000,0,1,NA,2,29,16,4,NA
1963,0,0,145100,0,1,NA,3,24,35,1,NA
1961,0,0,182500,0,1,19,1,31,24,3,8500
1962,1,0,60000,0,1,17,1,36,NA,3,7500
1963,0,NA,185000,0,1,12,1,26,50,4,3000
1958,0,0,110000,0,1,4,1,22,40,1,NA
1962,0,0,80000,0,1,23,3,32,40,1,NA
1961,1,NA,59749,25,1,18,2,38,120,3,2500
1958,1,0,172110,0,1,2,1,25,45,7,NA
1959,1,0,390662,0,1,NA,2,32,100,3,NA
1960,1,0,497763,0,1,9,1,29,60,8,12500
1962,1,0,497763,0,1,11,1,39,40,5,5000
1960,1,0,220000,0,1,5,3,37,40,6,7500
1957,0,0,17500,0,1,NA,2,25,80,1,NA
1960,1,0,64000,32,1,29,1,30,120,1,NA
1961,0,0,20500,0,1,NA,2,20,70,1,NA
1957,1,0,162000,0,1,NA,2,31,45,5,NA
1958,1,NA,497763,0,1,8,2,37,55,8,NA
1959,1,NA,497763,0,1,10,3,26,42,7,NA
1961,1,NA,60200,0,1,NA,1,29,52,3,NA
1964,0,1,63303,52,1,18,4,17,NA,2,NA
1960,1,NA,98540,0,1,4,1,26,40,2,NA
1960,1,0,74832,0,1,8,1,27,40,1,NA
1958,1,0,63700,0,1,8,2,31,NA,1,NA
1962,1,NA,46000,0,1,13,1,26,NA,1,NA
1963,0,NA,82050,0,1,5,1,29,40,4,NA
1957,1,NA,158000,0,1,1,3,28,42,1,NA
1962,1,0,79100,0,0,NA,1,33,48,1,NA
1963,1,NA,164430,0,1,NA,2,22,46,1,NA
1961,0,0,48000,0,1,NA,1,27,24,4,NA
1961,1,0,86400,0,1,4,2,28,45,2,2500
1962,0,0,89000,0,0,9,3,22,18,2,5000
1962,1,NA,155000,0,1,10,2,32,40,4,11000
1958,0,0,45000,0,1,NA,1,29,40,1,NA
1961,0,0,115000,0,1,12,1,26,40,2,NA
1958,0,0,104000,0,1,6,1,26,NA,4,2000
1963,0,0,96000,0,0,10,2,27,40,5,2500
1963,0,NA,130000,0,0,20,1,34,45,1,NA
1960,1,0,82030,0,1,8,1,27,40,1,NA
1962,1,0,250000,0,1,5,1,33,NA,1,NA
1963,0,NA,84000,0,1,10,2,24,64,1,NA
1963,1,0,70000,0,1,13,2,23,52,1,NA
1962,0,0,20000,0,0,12,1,19,30,1,NA
1964,0,0,69500,0,1,4,2,25,40,1,NA
1960,1,0,237000,0,1,15,2,32,15,6,10000
1958,0,0,36855,2,1,26,1,26,118,1,7200
1960,0,1,25000,0,1,7,1,21,40,1,NA
1963,1,1,37440,0,1,16,3,23,40,1,NA
1960,1,0,176000,0,1,9,1,33,40,1,2500
1957,0,NA,230000,0,1,NA,3,27,80,5,NA
1963,0,0,125500,0,1,17,4,18,40,1,5650
1964,0,0,194200,0,1,9,2,29,66,4,NA
1958,0,NA,974100,0,1,NA,2,34,40,2,NA
1957,0,0,65000,0,1,NA,2,22,40,1,NA
1957,0,0,90340,3,0,NA,2,40,40,2,500
1961,0,NA,95020,0,1,18,1,31,40,1,NA
1962,1,0,70000,0,1,14,1,16,40,1,NA
1964,1,0,109000,0,1,8,2,30,40,1,NA
1959,0,0,31517,0,0,20,1,33,NA,4,400
1961,0,0,36700,0,1,NA,2,24,112,1,NA
1961,0,0,84200,0,0,11,1,36,120,5,3000
1959,0,NA,49000,0,1,11,1,31,40,3,10000
1959,0,0,95000,0,1,NA,3,17,40,1,NA
1963,0,0,54228,0,1,14,2,29,88,1,NA
1959,1,0,12000,12,1,15,2,27,40,1,1250
1962,0,0,153650,0,1,13,2,30,26,4,4000
1964,1,0,240000,0,1,17,3,28,NA,3,NA
1957,0,1,12000,0,1,NA,2,31,40,1,10000
1963,1,0,497763,0,1,16,3,34,30,6,8000
1959,0,NA,53204,0,1,NA,2,32,40,2,NA
1959,0,0,215000,0,1,7,1,28,NA,4,90
1964,0,NA,150100,0,1,6,3,29,40,5,NA
1959,0,0,46640,0,0,NA,2,25,24,1,NA
1960,1,0,137915,0,1,NA,1,33,95,5,10000
1962,0,0,61150,0,1,NA,1,29,55,5,15000
1963,1,0,186000,0,1,8,2,33,40,5,9500
1961,1,0,78000,0,1,4,1,22,50,1,NA
1960,0,0,60000,0,1,NA,1,28,40,2,NA
1962,0,0,90200,0,1,NA,1,24,28,1,NA
1964,0,0,57000,0,1,NA,1,26,80,1,400
1959,0,0,102001,0,1,17,1,23,45,3,11000
1959,1,0,114000,0,0,11,2,33,58,1,NA
1960,1,0,84000,0,1,22,2,44,85,3,5000
1958,1,0,94003,43,1,29,1,37,8,3,8500
1964,0,0,32000,0,1,12,2,32,70,4,NA
1962,1,0,4610,0,1,NA,1,25,40,1,NA
1963,0,0,139000,0,1,NA,3,22,38,1,NA
1962,1,NA,70000,0,1,NA,2,26,50,1,NA
1957,1,NA,61016,52,1,7,2,29,40,1,NA
1960,1,0,51188,0,1,7,3,27,40,1,NA
1962,0,0,123000,0,1,19,3,33,NA,1,10500
1959,0,0,90000,0,1,NA,4,20,20,1,NA
1964,0,1,1e+05,0,1,NA,2,25,40,2,NA
1957,1,0,114000,0,0,NA,1,28,45,4,NA
1961,0,0,90400,0,1,21,1,39,27,1,NA
1963,1,0,4752,0,1,21,2,30,NA,1,NA
1964,0,0,51000,0,1,8,1,29,40,1,NA
1962,0,0,136000,0,1,15,2,35,NA,5,2500
1960,0,0,47000,0,1,21,4,30,55,3,2500
1958,0,1,86050,0,1,23,1,27,102,2,NA
1964,1,1,88000,0,1,NA,2,41,40,1,NA
1962,0,NA,214000,0,1,13,3,27,75,3,6000
1957,0,0,250,0,0,5,1,25,10,3,NA
1960,0,0,62000,0,1,7,5,25,NA,4,NA
1963,1,0,230100,0,1,5,2,22,45,4,NA
1960,0,0,153000,0,1,6,3,32,40,1,1500
1957,0,0,497763,0,1,8,1,26,19,3,NA
1958,0,NA,260000,0,1,31,2,35,56,4,2500
1962,0,0,72300,0,1,NA,2,34,7,4,4000
1957,0,0,43104,9,1,NA,1,19,40,1,NA
1961,1,0,1,0,0,NA,2,21,84,1,NA
1963,1,0,145000,0,0,NA,3,31,0,4,10000
1964,0,0,58400,0,0,6,1,19,32,5,NA
1963,0,0,33520,0,1,9,1,26,40,1,NA
1964,1,0,70600,0,0,13,2,26,40,1,NA
1959,1,0,66000,0,0,NA,4,26,48,1,NA
1960,0,0,120000,8,1,12,2,29,25,1,NA
1962,0,0,120000,0,1,5,1,26,38,2,NA
1962,0,0,99000,0,1,6,3,27,35,2,NA
1963,0,0,57515,0,1,6,1,29,60,5,25000
1961,1,0,50600,0,1,11,2,34,NA,1,NA
1963,0,0,60000,0,1,20,2,23,85,1,NA
1957,0,0,122006,0,1,10,2,30,30,1,NA
1964,0,0,95967,0,1,14,2,31,NA,5,8500
1959,1,0,110000,0,1,NA,2,25,65,1,NA
1960,1,NA,172000,0,1,NA,2,22,50,5,9500
1962,1,NA,194000,0,1,8,2,26,50,1,NA
1961,0,1,66330,0,1,17,2,22,24,1,NA
1963,0,0,123500,0,0,13,2,17,NA,1,NA
1964,1,0,135000,0,0,9,1,36,50,1,NA
1958,0,0,40000,0,1,NA,1,30,27,1,NA
1962,0,0,108320,0,1,NA,2,29,40,5,2500
1958,0,0,193500,0,0,6,1,23,46,4,10000
1962,1,0,162000,0,1,17,2,36,100,4,NA
1962,0,0,112500,0,1,7,3,23,40,1,NA
1957,1,0,105000,0,0,11,1,21,40,8,NA
1964,1,0,179500,0,1,20,2,34,127,4,2200
1959,0,0,24800,0,1,NA,2,25,40,1,NA
1957,1,0,2e+05,0,1,NA,3,28,35,5,NA
1958,0,0,68000,0,1,NA,3,24,75,4,NA
1957,0,0,100600,0,0,2,1,31,40,1,NA
1958,1,0,88200,0,0,NA,1,30,40,1,NA
1959,0,0,178064,0,0,8,1,35,50,2,NA
1961,0,0,134300,0,1,18,3,28,NA,8,2500
1962,1,0,55100,0,1,NA,3,27,40,2,NA
1964,0,0,64500,0,1,13,1,37,44,1,NA
1961,1,0,34000,0,1,6,2,24,40,1,NA
1962,0,0,9600,0,1,7,2,25,56,1,NA
1958,1,0,160500,0,1,5,2,28,45,5,2000
1959,0,0,19000,0,1,9,3,32,40,1,NA
1963,0,0,1e+05,0,1,21,2,32,40,1,NA
1963,0,NA,79811,0,1,13,2,26,70,1,NA
1961,0,0,62500,0,0,13,2,25,120,2,2500
1958,1,0,27350,0,1,NA,1,24,40,1,NA
1961,1,0,1e+05,0,1,NA,2,30,49,1,2400
1959,0,NA,91335,17,0,7,3,23,35,1,NA
1958,1,0,150500,0,1,7,2,27,50,1,NA
1959,1,0,125750,0,1,NA,2,41,65,4,3100
1962,0,0,95280,2,1,NA,2,33,10,4,NA
1958,0,0,1e+05,0,1,6,2,28,28,1,NA
1963,0,0,200,52,1,16,3,20,NA,1,NA
1964,0,0,108280,0,1,30,1,23,93,1,9416
1962,0,0,45000,0,1,19,2,21,40,2,2600
1961,0,0,124200,0,1,13,2,30,42,4,13000
1964,0,0,92100,0,1,7,2,28,40,2,5000
1962,1,0,31720,16,1,10,3,25,40,1,NA
1958,0,NA,78000,0,0,10,2,30,25,1,NA
1960,0,NA,65392,0,1,10,1,21,30,1,NA
1961,0,0,60000,0,1,3,2,28,48,1,NA
1963,0,0,195250,0,1,13,1,24,50,4,8000
1963,0,0,62500,12,1,9,1,16,NA,1,NA
1958,1,0,7000,0,1,16,1,27,56,1,NA
1960,1,0,54000,0,1,2,4,23,40,1,NA
1962,0,0,76000,0,0,8,1,24,22,1,NA
1963,1,0,53000,0,0,2,4,27,40,1,NA
1961,1,0,78400,0,0,8,1,28,48,1,NA
1958,1,0,75000,0,0,4,1,25,40,1,NA
1963,1,0,88000,0,0,6,3,25,40,1,NA
1963,1,0,149300,0,1,8,2,27,45,5,6800
1961,1,0,454737,0,0,NA,2,28,60,3,13000
1963,0,0,40050,0,1,5,1,25,40,2,3000
1961,1,0,111400,0,1,16,1,32,40,4,7500
1959,1,0,52006,0,0,20,3,31,45,1,NA
1962,1,0,52000,0,1,15,2,27,88,1,NA
1963,1,0,69100,0,1,6,1,27,40,1,NA
1964,1,NA,174000,0,0,NA,3,31,40,1,NA
1959,0,0,65700,0,1,15,1,21,NA,1,3500
1958,1,0,104000,0,1,NA,2,22,45,1,NA
1963,0,0,93030,0,1,16,1,22,120,3,10000
1959,0,NA,90000,0,1,16,2,25,52,1,NA
1962,1,NA,82000,0,0,14,1,28,54,1,NA
1958,0,NA,60000,0,1,18,2,29,81,1,NA
1960,0,0,26141,17,1,19,2,28,92,2,NA
1960,0,0,112000,0,1,4,1,22,24,1,NA
1958,1,0,127000,0,1,9,3,31,40,4,14000
1961,1,0,70000,0,1,12,2,38,50,5,NA
1961,1,0,124000,0,0,12,2,32,40,1,NA
1962,0,0,79538,0,1,10,1,28,40,3,NA
1958,0,NA,51000,0,1,8,1,27,40,4,NA
1962,0,NA,13000,0,1,NA,1,22,30,1,NA
1963,0,NA,5000,35,1,8,1,21,32,1,NA
1962,0,NA,72572,16,1,35,1,16,80,1,6900
1960,1,1,77522,0,0,NA,1,24,40,1,NA
1960,0,0,114000,0,0,NA,2,21,40,5,16000
1959,1,0,40300,0,1,NA,2,23,45,1,NA
1962,1,0,34906,0,1,NA,2,27,55,3,2900
1961,0,0,68700,0,1,12,1,31,35,2,NA
1957,0,1,24000,0,0,16,1,27,100,1,NA
1961,0,0,92000,0,1,NA,2,29,24,4,7500
1957,1,0,168000,0,1,NA,1,29,60,4,13649
1958,1,0,19000,0,1,NA,2,22,20,1,1500
1960,1,NA,182100,0,1,19,1,27,90,7,15000
1962,0,0,454737,0,1,NA,3,25,40,4,10000
1957,1,NA,265000,0,1,NA,2,39,75,3,5000
1961,0,0,103000,0,1,NA,2,24,30,2,NA
1964,1,NA,139000,0,1,13,2,34,NA,4,NA
1960,1,0,85030,0,1,7,2,35,45,2,NA
1959,0,NA,60200,0,1,NA,1,33,40,1,NA
1962,0,0,145000,0,1,6,3,26,53,4,5000
1963,1,NA,103000,0,1,24,1,33,40,4,NA
1961,0,NA,221000,0,1,7,1,26,37,4,NA
1964,0,0,43000,0,1,NA,2,28,40,4,NA
1958,1,NA,497763,0,1,4,2,31,40,4,NA
1960,0,0,110000,0,1,8,2,31,NA,3,NA
1962,0,1,14892,0,0,6,1,23,NA,1,NA
1958,1,0,98030,0,0,6,1,26,104,1,NA
1963,0,0,10860,0,1,5,2,19,18,1,NA
1960,0,0,17000,0,1,NA,2,21,40,1,NA
1957,1,NA,1e+05,5,1,6,2,17,40,2,NA
1958,1,0,153000,0,1,9,1,22,50,4,6000
1960,1,0,170100,0,1,13,3,31,70,1,NA
1961,1,0,109167,0,1,4,3,33,56,1,NA
1960,0,NA,29155,0,0,NA,5,28,100,4,7500
1961,1,NA,101200,0,0,16,2,27,90,4,7500
1959,0,0,86299,0,0,NA,4,22,10,1,NA
1962,0,0,144000,0,1,11,1,15,40,3,5000
1957,0,0,65000,0,1,11,1,23,40,1,NA
1960,1,0,78696,16,1,10,1,19,80,1,NA
1961,1,0,2400,17,1,23,1,19,30,1,NA
1961,0,NA,73500,0,0,12,2,18,40,8,1500
1959,0,0,27244,0,0,NA,1,19,60,1,NA
1961,0,NA,10590,0,0,22,2,18,NA,1,NA
1964,1,0,110000,0,0,NA,3,22,50,1,NA
1962,0,0,147000,0,0,9,1,29,32,8,5000
1964,0,0,78750,0,0,NA,4,28,45,1,NA
1961,0,0,130000,0,0,6,3,35,40,1,NA
1961,1,0,408473,0,1,NA,3,25,50,5,9500
1960,0,0,145000,0,1,NA,2,22,38,1,NA
1963,1,1,59020,0,0,10,1,23,50,1,NA
1963,1,0,82505,0,0,21,1,18,45,1,NA
1962,1,0,140200,0,0,NA,3,22,55,1,NA
1964,0,0,50500,0,0,14,3,27,46,4,9500
1961,0,0,53800,0,1,NA,3,23,24,1,NA
1957,0,0,51440,0,1,NA,3,21,40,1,NA
1960,0,0,115000,6,1,22,2,30,40,3,NA
1963,0,0,253000,0,1,16,2,28,45,4,4000
1958,0,NA,43200,0,1,17,1,32,120,2,NA
1957,0,0,29000,0,1,14,1,22,105,2,NA
1957,1,0,76960,0,0,10,1,37,40,1,NA
1959,0,0,40500,0,1,4,1,26,40,1,NA
1957,0,0,240800,0,1,11,1,21,36,4,2200
1958,1,0,138030,0,1,9,2,29,40,5,5000
1964,0,0,165600,0,1,8,2,27,35,1,NA
1964,1,0,95000,0,1,8,2,30,NA,1,NA
1961,0,NA,497763,0,1,13,3,25,40,5,20000
1959,0,1,497763,0,1,23,2,34,NA,3,3200
1962,0,0,74000,0,1,10,2,29,35,4,10400
1961,0,0,110200,0,0,19,1,28,45,5,6000
1963,1,0,140000,0,1,17,2,29,NA,4,NA
1958,0,NA,241000,0,1,6,1,29,21,1,NA
1961,0,0,220000,0,1,7,2,40,50,3,10000
1961,1,NA,255000,0,1,4,2,32,5,4,NA
1960,0,1,58700,0,1,17,1,36,NA,1,NA
1957,0,0,62572,0,1,8,1,38,39,5,NA
1959,1,0,122000,0,1,17,1,39,40,5,2800
1958,0,1,12000,0,1,12,1,25,25,1,15000
1959,1,0,220700,0,0,10,2,24,55,4,15000
1964,1,0,73000,0,1,16,1,18,40,1,NA
1961,0,0,117500,0,1,16,2,32,40,5,4000
1964,1,0,120000,0,1,16,1,33,NA,1,NA
1959,0,0,134468,0,1,6,1,22,NA,1,NA
1958,0,0,50000,0,1,NA,3,30,35,1,NA
1960,1,0,48532,0,1,20,1,27,NA,1,NA
1964,0,0,66800,0,0,NA,2,30,40,2,NA
1958,1,0,98000,0,1,4,1,23,40,1,NA
1961,0,0,69000,0,1,11,1,30,40,3,NA
1961,0,0,14000,0,1,10,1,19,48,1,NA
1961,1,0,260000,0,1,11,2,33,40,7,30000
1959,0,NA,14000,0,1,6,1,30,25,1,NA
1960,1,0,45200,0,1,NA,2,27,80,2,2300
1963,1,0,36000,0,1,7,3,29,140,8,15000
1963,1,0,497763,0,0,6,2,31,55,7,44667
1962,1,NA,497763,0,1,11,3,34,65,5,30000
1961,1,0,250000,0,1,NA,2,26,55,4,4500
1963,1,0,160000,0,1,4,1,31,55,4,2500
1959,0,NA,37450,0,0,NA,1,19,44,1,NA
1963,1,0,231000,2,1,28,1,19,90,4,5000
1962,1,0,93700,0,1,NA,2,29,40,4,7000
1964,1,0,146000,0,1,7,4,33,40,3,5000
1962,1,0,390662,0,0,NA,2,22,150,7,9000
1963,1,0,90000,0,1,10,1,24,40,1,2500
1960,0,0,59080,0,1,21,1,26,58,4,NA
1963,1,0,497763,0,1,7,2,31,50,5,NA
1962,1,0,101900,4,1,15,2,30,40,4,13000
1963,0,0,244343,0,1,NA,2,21,15,1,1200
1957,1,0,497763,0,0,11,1,25,66,7,30000
1962,0,0,36000,0,1,17,2,25,38,2,NA
1958,1,1,51000,0,0,10,2,34,45,4,5000
1962,0,NA,35000,0,0,7,1,22,48,1,NA
1960,1,0,72150,0,1,29,1,21,115,1,NA
1959,0,1,63000,0,1,7,2,33,40,8,NA
1963,1,0,44400,0,1,12,2,28,2,3,5000
1961,0,0,150500,0,1,14,2,35,NA,3,NA
1964,0,0,24684,0,1,26,2,25,3,4,2800
1963,0,0,109000,0,1,12,2,21,38,1,NA
1963,0,NA,109900,0,1,12,2,22,60,2,14000
1962,0,0,155000,0,1,12,2,26,40,5,5000
1964,0,0,270000,0,1,15,2,32,45,5,20000
1964,1,NA,134000,0,1,20,2,33,50,5,NA
1959,0,NA,200104,0,1,10,1,20,NA,1,NA
1957,0,0,1,0,1,7,1,18,NA,1,NA
1960,1,0,74000,0,1,NA,4,30,40,1,NA
1963,1,0,142000,0,1,18,3,15,40,1,NA
1963,0,0,95280,38,1,NA,2,22,80,1,NA
1963,0,1,4828,0,1,NA,1,20,NA,1,NA
1961,0,1,9762,0,1,16,1,15,NA,2,NA
1959,1,0,116000,0,1,12,1,39,50,1,2000
1957,0,1,10800,0,1,5,1,21,NA,3,NA
1960,0,1,115000,0,1,3,3,22,40,3,NA
1960,1,0,1e+05,0,1,NA,1,25,50,1,NA
1958,0,0,62000,0,1,8,3,23,NA,7,NA
1962,1,0,63000,0,0,14,1,25,40,1,NA
1958,1,0,260000,0,1,1,3,26,40,4,NA
1963,0,NA,82000,0,0,12,2,30,24,2,NA
1957,0,0,85000,0,0,7,3,29,NA,3,2500
1960,0,0,128000,0,1,20,3,27,40,4,10000
1962,0,0,1,0,1,11,1,17,NA,1,NA
1958,1,NA,217440,0,1,9,1,30,53,6,NA
1960,1,0,152000,0,1,NA,2,36,50,4,NA
1963,0,0,32000,0,1,27,1,26,90,5,28000
1963,1,NA,130600,0,1,9,1,39,32,7,11000
1964,1,0,86500,0,1,13,2,30,40,1,NA
1961,0,0,248000,0,0,15,1,27,48,4,8000
1963,1,0,85000,0,0,13,1,26,68,1,NA
1964,0,0,87600,0,1,9,2,30,40,4,400
1962,1,1,35000,0,0,21,2,19,40,1,NA
1962,0,0,137000,0,0,NA,3,30,40,1,NA
1964,1,0,55000,0,1,24,1,35,NA,1,NA
1961,1,0,49160,0,0,17,1,36,105,1,NA
1961,0,0,107000,0,1,9,2,31,38,1,NA
1964,0,0,17760,0,1,23,1,24,NA,2,5200
1961,0,NA,1,52,0,NA,2,28,10,4,6400
1964,1,0,90000,0,0,NA,2,28,90,1,NA
1960,0,0,76000,0,1,12,1,20,85,1,NA
1962,0,0,190985,0,1,NA,1,22,85,1,NA
1963,0,0,71806,6,1,11,1,20,30,1,NA
1964,1,0,497763,0,1,8,2,34,45,5,NA
1964,0,0,105000,0,1,NA,3,25,40,5,NA
1963,1,NA,213050,0,1,19,2,24,50,4,NA
1963,1,0,103000,0,0,NA,4,29,50,5,7000
1963,1,0,44000,11,1,12,1,20,20,1,NA
1963,0,0,1e+05,0,1,8,2,25,NA,1,NA
1961,1,1,24000,49,0,6,2,23,NA,1,NA
1963,1,1,1,0,1,9,2,20,NA,1,NA
1963,0,0,233760,0,1,6,1,37,40,1,NA
1963,0,0,89664,4,1,12,3,30,30,8,25000
1961,0,0,26000,0,1,30,3,24,NA,1,NA
1964,0,1,49000,0,1,12,1,26,40,1,NA
1962,0,NA,1,0,1,NA,2,31,40,1,NA
1964,1,NA,105140,0,1,5,1,33,40,1,NA
1957,0,NA,80000,0,0,4,1,23,90,5,4500
1962,1,0,48400,0,1,NA,1,27,50,4,NA
1961,0,0,114000,0,0,10,1,38,44,5,2000
1962,0,0,108000,0,1,9,2,32,40,4,2500
